From Date,CO,Ozone
13-04-2020 08:00,0.52,35.94
13-04-2020 16:00,0.54,38.18
14-04-2020 00:00,0.81,27.28
14-04-2020 08:00,0.42,36.62
14-04-2020 16:00,0.49,38.81
15-04-2020 00:00,0.62,26.84
15-04-2020 08:00,0.5,40.05
15-04-2020 16:00,0.55,39.9
16-04-2020 00:00,0.56,25.91
16-04-2020 08:00,0.46,34.57
16-04-2020 16:00,0.59,42.92
17-04-2020 00:00,0.57,26.4
17-04-2020 08:00,0.59,35.3
17-04-2020 16:00,0.62,41.63
18-04-2020 00:00,0.54,26.27
18-04-2020 08:00,0.56,39.97
18-04-2020 16:00,0.59,39.17
19-04-2020 00:00,0.6,27.8
19-04-2020 08:00,0.48,36.31
19-04-2020 16:00,0.48,45.26
20-04-2020 00:00,0.48,28.15
20-04-2020 08:00,0.47,37.55
20-04-2020 16:00,0.49,45.59
21-04-2020 00:00,0.56,28.31
21-04-2020 08:00,0.46,36.5
21-04-2020 16:00,0.64,45.38
22-04-2020 00:00,0.55,28.94
22-04-2020 08:00,0.5,33.22
22-04-2020 16:00,0.54,44.96
23-04-2020 00:00,0.61,27.37
23-04-2020 08:00,0.62,31.6
23-04-2020 16:00,0.64,41.84
24-04-2020 00:00,None,None
24-04-2020 08:00,0.52,40.25
24-04-2020 16:00,0.86,44.38
25-04-2020 00:00,0.48,26.4
25-04-2020 08:00,0.51,35.32
25-04-2020 16:00,0.63,34.2
26-04-2020 00:00,0.53,24.51
26-04-2020 08:00,0.42,32.69
26-04-2020 16:00,0.48,39.25
27-04-2020 00:00,0.45,24.79
27-04-2020 08:00,0.57,36.43
27-04-2020 16:00,0.67,39.81
28-04-2020 00:00,0.49,24.89
28-04-2020 08:00,0.46,36.7
28-04-2020 16:00,0.43,34.97
29-04-2020 00:00,0.39,24.94
29-04-2020 08:00,0.58,34.3
29-04-2020 16:00,0.74,39.7
30-04-2020 00:00,0.88,26.7
30-04-2020 08:00,0.43,38.15
30-04-2020 16:00,0.78,38.91
01-05-2020 0:00,0.55,24.65
01-05-2020 8:00,0.38,45.81
01-05-2020 16:00,0.53,42.4
02-05-2020 0:00,0.48,24.97
02-05-2020 8:00,0.52,36.2
02-05-2020 16:00,0.63,36.15
03-05-2020 0:00,0.58,26.18
03-05-2020 8:00,0.44,40.61
03-05-2020 16:00,0.63,44.66
04-05-2020 0:00,0.47,25.42
04-05-2020 8:00,0.56,37.85
04-05-2020 16:00,0.8,44.82
05-05-2020 0:00,0.67,45.15
05-05-2020 8:00,0.69,45.33
05-05-2020 16:00,0.49,33.15
06-05-2020 0:00,0.5,25
06-05-2020 8:00,0.68,36.33
06-05-2020 16:00,0.64,34.29
07-05-2020 0:00,0.52,26.82
07-05-2020 8:00,0.82,38.61
07-05-2020 16:00,0.59,45.12
08-05-2020 0:00,0.41,44.52
08-05-2020 8:00,0.44,44.66
08-05-2020 16:00,1.02,36.44
09-05-2020 0:00,0.59,23.89
09-05-2020 8:00,0.46,36.12
09-05-2020 16:00,0.44,36.47
10-05-2020 0:00,0.41,25.57
10-05-2020 8:00,0.38,40.95
10-05-2020 16:00,0.47,42.76
11-05-2020 0:00,0.36,25.8
11-05-2020 8:00,0.45,25.54
11-05-2020 16:00,0.45,20.86
12-05-2020 0:00,0.38,5.9
12-05-2020 8:00,0.44,20.95
12-05-2020 16:00,0.48,25.95
13-05-2020 00:00,0.42,25.31
13-05-2020 08:00,0.6,26.05
13-05-2020 16:00,0.63,25.28
14-05-2020 00:00,0.48,15.85
14-05-2020 08:00,0.67,30.03
14-05-2020 16:00,0.54,35.41
15-05-2020 00:00,0.37,16
15-05-2020 08:00,0.54,30.21
15-05-2020 16:00,0.68,33.39
16-05-2020 00:00,0.54,15.58
16-05-2020 08:00,0.89,30.85
16-05-2020 16:00,1.37,36.08
17-05-2020 00:00,0.61,21.95
17-05-2020 08:00,0.89,26.42
17-05-2020 16:00,0.76,34.45
18-05-2020 00:00,0.47,17.34
18-05-2020 08:00,1.03,28.74
18-05-2020 16:00,0.85,28.82
19-05-2020 00:00,0.29,15.72
19-05-2020 08:00,0.87,31.75
19-05-2020 16:00,0.83,43.7
20-05-2020 00:00,0.3,27.67
20-05-2020 08:00,0.72,41.29
20-05-2020 16:00,0.75,42.42
21-05-2020 00:00,0.42,25.84
21-05-2020 08:00,0.76,39.6
21-05-2020 16:00,0.71,40.72
22-05-2020 00:00,0.33,27.66
22-05-2020 08:00,0.85,31.9
22-05-2020 16:00,0.64,45.92
23-05-2020 00:00,0.36,34.73
23-05-2020 08:00,0.88,32.8
23-05-2020 16:00,0.76,45.22
24-05-2020 00:00,0.34,30.01
24-05-2020 08:00,0.31,38.45
24-05-2020 16:00,0.65,39.63
25-05-2020 00:00,0.41,39.09
25-05-2020 08:00,0.77,44.15
25-05-2020 16:00,1.13,49.61
26-05-2020 00:00,0.35,48.55
26-05-2020 08:00,0.67,50.65
26-05-2020 16:00,0.55,40.55
27-05-2020 00:00,None,39.2
27-05-2020 08:00,0.65,40.1
27-05-2020 16:00,0.97,38.39
28-05-2020 00:00,0.46,27.62
28-05-2020 08:00,0.85,36.64
28-05-2020 16:00,0.81,36.27
29-05-2020 00:00,0.43,18.62
29-05-2020 08:00,0.91,16.79
29-05-2020 16:00,0.71,18.26
30-05-2020 00:00,0.39,18.65
30-05-2020 08:00,1.03,28.63
30-05-2020 16:00,0.46,31.23
31-05-2020 00:00,0.57,18.25
31-05-2020 08:00,0.37,28.37
31-05-2020 16:00,0.5,26.69
01-06-2020 0:00,0.41,18.27
01-06-2020 8:00,0.48,33.62
01-06-2020 16:00,0.52,26.02
02-06-2020 0:00,0.35,16.16
02-06-2020 8:00,0.44,29.98
02-06-2020 16:00,0.49,26.38
03-06-2020 0:00,0.17,16.37
03-06-2020 8:00,0.38,15.29
03-06-2020 16:00,0.57,15.64
04-06-2020 0:00,0.32,16.22
04-06-2020 8:00,0.54,19.97
04-06-2020 16:00,0.77,27.53
05-06-2020 0:00,0.24,13.81
05-06-2020 8:00,0.61,25.53
05-06-2020 16:00,0.7,22.09
06-06-2020 0:00,0.3,16.12
06-06-2020 8:00,0.71,22.33
06-06-2020 16:00,0.63,24.11
07-06-2020 0:00,0.33,14.04
07-06-2020 8:00,0.55,13.1
07-06-2020 16:00,0.63,13.39
08-06-2020 0:00,0.7,13.96
08-06-2020 8:00,0.9,20.85
08-06-2020 16:00,0.84,23.08
09-06-2020 0:00,0.28,18.44
09-06-2020 8:00,0.83,23.67
09-06-2020 16:00,0.77,32.78
10-06-2020 0:00,0.29,18.79
10-06-2020 8:00,0.97,26.26
10-06-2020 16:00,0.68,24.54
11-06-2020 0:00,0.26,13.9
11-06-2020 8:00,0.93,13.25
11-06-2020 16:00,0.89,13.78
12-06-2020 0:00,0.68,14.19
12-06-2020 8:00,0.8,18.79
12-06-2020 16:00,0.75,23.4
13-06-2020 00:00,0.32,14.14
13-06-2020 08:00,0.62,19.49
13-06-2020 16:00,0.64,24.73
14-06-2020 00:00,0.24,14.48
14-06-2020 08:00,0.48,15.95
14-06-2020 16:00,0.6,15.34
15-06-2020 00:00,0.26,15.4
15-06-2020 08:00,0.64,26.95
15-06-2020 16:00,0.73,23.61
16-06-2020 00:00,0.23,17.54
16-06-2020 08:00,0.57,25.89
16-06-2020 16:00,0.76,35.62
17-06-2020 00:00,0.5,18.01
17-06-2020 08:00,0.82,17.02
17-06-2020 16:00,0.46,7.12
18-06-2020 00:00,0.41,7.76
18-06-2020 08:00,0.68,19.73
18-06-2020 16:00,0.85,14.55
19-06-2020 00:00,0.39,7.46
19-06-2020 08:00,0.79,8.67
19-06-2020 16:00,0.82,35.75
20-06-2020 00:00,0.27,15.38
20-06-2020 08:00,0.85,15.9
20-06-2020 16:00,1.09,15.57
21-06-2020 00:00,0.35,15.51
21-06-2020 08:00,0.41,15.9
21-06-2020 16:00,0.62,15.88
22-06-2020 00:00,0.32,15.83
22-06-2020 08:00,0.88,15.72
22-06-2020 16:00,1.27,13.13
23-06-2020 00:00,0.37,7.79
23-06-2020 08:00,0.72,26.53
23-06-2020 16:00,0.85,39.86
24-06-2020 00:00,0.42,26.37
24-06-2020 08:00,0.85,34.97
24-06-2020 16:00,0.47,29.58
25-06-2020 00:00,0.52,25.66
25-06-2020 08:00,0.92,33.84
25-06-2020 16:00,0.97,27.51
26-06-2020 00:00,0.88,26.86
26-06-2020 08:00,1.01,28.61
26-06-2020 16:00,None,None
27-06-2020 00:00,None,None
27-06-2020 08:00,None,None
27-06-2020 16:00,None,None
28-06-2020 00:00,None,None
28-06-2020 08:00,None,None
28-06-2020 16:00,None,None
29-06-2020 00:00,None,None
29-06-2020 08:00,None,None
29-06-2020 16:00,0.62,41.47
30-06-2020 00:00,None,26.15
30-06-2020 08:00,None,28.2
30-06-2020 16:00,0.9,39.34
01-07-2020 0:00,0.24,27.04
01-07-2020 8:00,0.46,34.75
01-07-2020 16:00,0.5,36.94
02-07-2020 0:00,0.24,25.39
02-07-2020 8:00,0.52,31.51
02-07-2020 16:00,0.66,32.75
03-07-2020 0:00,0.23,25.82
03-07-2020 8:00,0.46,39.27
03-07-2020 16:00,0.57,40.73
04-07-2020 0:00,0.25,24.94
04-07-2020 8:00,0.51,25.24
04-07-2020 16:00,0.56,32.19
05-07-2020 0:00,0.25,26.61
05-07-2020 8:00,0.26,29.6
05-07-2020 16:00,0.27,42.54
06-07-2020 0:00,0.23,28.36
06-07-2020 8:00,0.62,30.9
06-07-2020 16:00,0.61,29.24
07-07-2020 0:00,0.3,20.59
07-07-2020 8:00,0.47,33.98
07-07-2020 16:00,1.01,38.52
08-07-2020 0:00,1.13,21.08
08-07-2020 8:00,1.13,31.98
